session,date,block,accuracy,avgRt,interference,incongruentRatio,stimulusDuration
1,2026-06-06T10:36:47.379Z,1,95,845,145,50,1500
1,2026-06-06T10:36:47.379Z,2,95,774,176,50,1500
1,2026-06-06T10:36:47.379Z,3,95,709,156,50,1500
1,2026-06-06T10:36:47.379Z,4,95,691,0,50,1500
1,2026-06-06T10:36:47.379Z,5,100,701,113,50,1500
2,2026-06-06T10:41:32.342Z,1,100,578,48,50,1500
2,2026-06-06T10:41:32.342Z,2,95,526,0,50,1500
2,2026-06-06T10:41:32.342Z,3,100,477,0,50,1500
2,2026-06-06T10:41:32.342Z,4,100,505,26,50,1500
2,2026-06-06T10:41:32.342Z,5,95,528,0,50,1500
3,2026-06-06T10:46:31.423Z,1,100,502,0,50,1500
3,2026-06-06T10:46:31.423Z,2,100,466,34,50,1500
3,2026-06-06T10:46:31.423Z,3,100,456,0,50,1500
3,2026-06-06T10:46:31.423Z,4,100,479,112,50,1500
3,2026-06-06T10:46:31.423Z,5,95,444,0,50,1500
4,2026-06-06T10:54:55.348Z,1,95,458,1,50,1500
4,2026-06-06T10:54:55.348Z,2,85,475,65,50,1500
4,2026-06-06T10:54:55.348Z,3,100,469,92,50,1500
4,2026-06-06T10:54:55.348Z,4,100,462,0,50,1500
4,2026-06-06T10:54:55.348Z,5,95,456,45,50,1500
5,2026-06-06T11:03:34.644Z,1,95,441,45,50,1500
5,2026-06-06T11:03:34.644Z,2,100,441,0,50,1500
5,2026-06-06T11:03:34.644Z,3,100,408,0,55,1400
5,2026-06-06T11:03:34.644Z,4,95,457,36,60,1300
5,2026-06-06T11:03:34.644Z,5,100,474,81,65,1200
6,2026-06-06T11:05:56.675Z,1,95,454,40,50,1500
6,2026-06-06T11:05:56.675Z,2,100,490,0,50,1500
7,2026-06-06T11:13:11.927Z,1,95,470,46,50,1500
7,2026-06-06T11:13:11.927Z,2,95,454,44,50,1500
7,2026-06-06T11:13:11.927Z,3,100,457,0,55,1400
7,2026-06-06T11:13:11.927Z,4,95,460,45,60,1300
7,2026-06-06T11:13:11.927Z,5,95,436,0,65,1200
8,2026-06-06T11:16:06.291Z,1,95,450,62,70,1100
8,2026-06-06T11:16:06.291Z,2,100,449,0,70,1100
8,2026-06-06T11:16:06.291Z,3,95,464,126,75,1000
8,2026-06-06T11:16:06.291Z,4,95,437,0,80,900
8,2026-06-06T11:16:06.291Z,5,100,476,38,80,800
9,2026-06-06T11:21:01.866Z,1,45,499,100,80,700
9,2026-06-06T11:21:01.866Z,2,75,525,6,80,700
9,2026-06-06T11:21:01.866Z,3,90,520,35,80,700
9,2026-06-06T11:21:01.866Z,4,85,488,0,80,700
9,2026-06-06T11:21:01.866Z,5,100,475,93,80,700
10,2026-06-06T11:23:54.321Z,1,95,427,2,80,700
10,2026-06-06T11:23:54.321Z,2,100,410,27,80,700
10,2026-06-06T11:23:54.321Z,3,95,409,0,80,600
10,2026-06-06T11:23:54.321Z,4,30,447,7,80,500
10,2026-06-06T11:23:54.321Z,5,60,438,80,80,500
