session,date,block,accuracy,avgRt,interference,incongruentRatio,stimulusDuration
1,2026-06-06T10:36:47.379Z,1,95,845,145,50,1500
1,2026-06-06T10:36:47.379Z,2,95,774,176,50,1500
1,2026-06-06T10:36:47.379Z,3,95,709,156,50,1500
1,2026-06-06T10:36:47.379Z,4,95,691,0,50,1500
1,2026-06-06T10:36:47.379Z,5,100,701,113,50,1500
2,2026-06-06T10:41:32.342Z,1,100,578,48,50,1500
2,2026-06-06T10:41:32.342Z,2,95,526,0,50,1500
2,2026-06-06T10:41:32.342Z,3,100,477,0,50,1500
2,2026-06-06T10:41:32.342Z,4,100,505,26,50,1500
2,2026-06-06T10:41:32.342Z,5,95,528,0,50,1500
3,2026-06-06T10:46:31.423Z,1,100,502,0,50,1500
3,2026-06-06T10:46:31.423Z,2,100,466,34,50,1500
3,2026-06-06T10:46:31.423Z,3,100,456,0,50,1500
3,2026-06-06T10:46:31.423Z,4,100,479,112,50,1500
3,2026-06-06T10:46:31.423Z,5,95,444,0,50,1500
4,2026-06-06T10:54:55.348Z,1,95,458,1,50,1500
4,2026-06-06T10:54:55.348Z,2,85,475,65,50,1500
4,2026-06-06T10:54:55.348Z,3,100,469,92,50,1500
4,2026-06-06T10:54:55.348Z,4,100,462,0,50,1500
4,2026-06-06T10:54:55.348Z,5,95,456,45,50,1500
